,regimen,sid,3rd,5th,6th
0,AP,1611,67.2839506173,66.049382716,73.4567901235
1,AP,1612,78.3950617284,70.987654321,74.6913580247
2,AP,1613,70.987654321,72.2222222222,74.6913580247
3,AP,1614,75.9259259259,66.049382716,89.5061728395
4,AP,1625,57.4074074074,54.9382716049,48.7654320988
5,AP,1627,56.1728395062,57.4074074074,67.2839506173
6,AP,1641,54.9180327869,58.1967213115,54.9180327869
7,LA,1621,71.9858156028,50.0,61.3475177305
8,LA,1652,54.2553191489,45.7446808511,53.5460992908
9,LA,1672,79.7872340426,87.5886524823,93.2624113475
10,LA,1674,48.5815602837,50.7092198582,51.4184397163
11,LA,1684,63.2231404959,42.5619834711,84.7107438017
12,LA,1790,52.1276595745,50.7092198582,58.5106382979
13,LA,1794,52.1276595745,57.0921985816,67.7304964539
14,P,1618,59.756097561,59.756097561,64.6341463415
15,P,1619,54.8780487805,64.6341463415,89.0243902439
16,P,1620,62.1951219512,42.6829268293,57.3170731707
17,P,1665,69.512195122,59.756097561,57.3170731707
18,P,1666,50.0,50.0,69.512195122
19,P,1670,62.1951219512,54.8780487805,84.1463414634
20,P,1671,64.6341463415,62.1951219512,71.9512195122
21,SA,1615,48.7654320988,54.9382716049,74.6913580247
22,SA,1616,66.049382716,50.0,56.1728395062
23,SA,1617,54.9382716049,59.8765432099,74.6913580247
24,SA,1622,57.4074074074,69.7530864198,85.8024691358
25,SA,1653,57.4074074074,52.4691358025,72.2222222222
26,SA,1658,77.1604938272,69.7530864198,88.2716049383
27,SA,1804,61.1111111111,57.4074074074,59.8765432099
